date,period,red_ball_1,red_ball_2,red_ball_3,red_ball_4,red_ball_5,red_ball_6,blue_ball
2018/1/7,2018003,1,14,16,17,20,31,4
2018/1/4,2018002,7,18,24,29,31,33,16
2018/1/2,2018001,1,8,11,26,28,31,4
2017/12/31,2017154,5,9,13,15,18,26,5
2017/12/28,2017153,7,11,12,13,18,19,16
2017/12/26,2017152,6,10,23,25,26,29,5
2017/12/24,2017151,2,5,7,9,11,27,16
2017/12/21,2017150,6,14,19,20,21,23,8
2017/12/19,2017149,5,8,15,20,27,30,13
2017/12/17,2017148,4,7,11,14,29,32,12
2017/12/14,2017147,3,7,20,21,25,31,14
2017/12/12,2017146,1,19,25,26,27,33,10
2017/12/10,2017145,2,6,12,17,25,28,12
2017/12/7,2017144,3,14,16,20,31,32,9
2017/12/5,2017143,4,6,9,14,20,29,14
2017/12/3,2017142,8,13,14,18,23,33,6
2017/11/30,2017141,1,6,7,11,13,15,5
2017/11/28,2017140,21,22,25,28,29,30,8
2017/11/26,2017139,2,14,20,24,28,32,16
2017/11/23,2017138,1,17,24,28,32,33,2
2017/11/21,2017137,5,10,20,23,26,31,3
2017/11/19,2017136,3,7,10,18,21,24,12
2017/11/16,2017135,1,6,7,14,18,26,16
2017/11/14,2017134,4,5,11,14,28,32,4
2017/11/12,2017133,6,15,17,18,23,30,11
2017/11/9,2017132,2,3,5,9,13,28,11
2017/11/7,2017131,1,7,10,11,26,27,11
2017/11/5,2017130,5,13,14,23,25,31,2
2017/11/2,2017129,5,6,9,14,21,33,2
2017/10/31,2017128,2,6,13,22,29,31,8
2017/10/29,2017127,14,15,21,24,27,32,12
2017/10/26,2017126,1,16,17,21,27,30,16
2017/10/24,2017125,1,14,23,25,29,30,3
2017/10/22,2017124,2,6,11,26,28,29,3
2017/10/19,2017123,4,5,6,11,21,31,10
2017/10/17,2017122,11,20,21,22,24,27,15
2017/10/15,2017121,11,18,19,22,24,32,7
2017/10/12,2017120,8,10,15,19,23,28,16
2017/10/10,2017119,9,16,21,25,26,31,14
2017/10/8,2017118,8,9,15,22,30,33,16
2017/10/5,2017117,1,2,8,11,14,21,9
2017/10/3,2017116,2,14,20,22,30,32,2
2017/10/1,2017115,4,10,11,25,30,31,1
2017/9/28,2017114,6,12,13,15,18,26,13
2017/9/26,2017113,4,6,16,27,29,33,5
2017/9/24,2017112,3,10,14,16,22,23,11
2017/9/21,2017111,5,10,17,19,29,32,12
2017/9/19,2017110,1,3,12,15,19,23,14
2017/9/17,2017109,8,14,16,18,21,23,16
2017/9/14,2017108,7,12,14,15,17,20,1
2017/9/12,2017107,8,9,15,17,30,32,6
2017/9/10,2017106,12,15,20,25,27,31,2
2017/9/7,2017105,3,6,7,12,25,26,7
2017/9/5,2017104,1,14,15,20,23,30,14
2017/9/3,2017103,1,21,23,25,31,33,1
